['248.50', 'Aug 14, 11:49', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 11:49', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.35', 'Aug 14, 11:55', ' -0.2 (-0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.35', 'Aug 14, 11:55', ' -0.2 (-0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.35', 'Aug 14, 11:55', ' -0.2 (-0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 12:02', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 12:02', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 12:02', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 12:06', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 12:06', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 12:11', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 12:11', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 12:15', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 12:15', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 12:15', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.55', 'Aug 14, 12:20', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 12:20', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.80', 'Aug 14, 12:26', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.80', 'Aug 14, 12:26', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.80', 'Aug 14, 12:26', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.40', 'Aug 14, 12:30', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.60', 'Aug 14, 12:36', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 12:36', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 12:36', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 12:40', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 12:40', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 12:40', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.40', 'Aug 14, 12:45', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 12:45', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 12:50', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 12:50', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.05', 'Aug 14, 12:55', ' -0.5 (-0.2%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.05', 'Aug 14, 12:55', ' -0.5 (-0.2%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.05', 'Aug 14, 12:55', ' -0.5 (-0.2%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.10', 'Aug 14, 13:01', ' -0.45 (-0.18%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.10', 'Aug 14, 13:01', ' -0.45 (-0.18%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 13:47', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.55', 'Aug 14, 13:52', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 13:52', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 13:52', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.20', 'Aug 14, 13:59', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 13:59', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.20', 'Aug 14, 13:59', ' -0.35 (-0.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.70', 'Aug 14, 14:04', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 14:04', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.50', 'Aug 14, 14:09', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:09', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:09', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.60', 'Aug 14, 14:12', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 14:12', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 14:12', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.40', 'Aug 14, 14:20', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 14:20', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.40', 'Aug 14, 14:20', ' -0.15 (-0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.55', 'Aug 14, 14:25', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 14:25', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.50', 'Aug 14, 14:30', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:30', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:30', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:36', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:36', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.50', 'Aug 14, 14:36', ' -0.05 (-0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.55', 'Aug 14, 14:42', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 14:42', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.55', 'Aug 14, 14:42', ' 0 ', 'https://img-d05.moneycontrol.co.in/images/stocks/greyarrow.gif"/>']
['248.60', 'Aug 14, 14:49', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 14:49', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 14:49', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
